============================================================
AI-TOWN 3-DAY SIMULATION LOGICAL ANOMALY REPORT
============================================================

### CHARACTER TIMELINES ###

Character: Amy (A)
--------------------------------------------------------------------------------
  Day 1 06:00 | Action: 起床         | Target: A家         | Location:            | Mode: deliberate | C: 0.572
  Day 1 07:00 | Action: 起床         | Target: A家         | Location:            | Mode: intuitive  | C: 0.516
  Day 1 08:00 | Action: 運動         | Target:            | Location:            | Mode: intuitive  | C: 0.518
  Day 1 09:00 | Action: 回家         | Target:            | Location:            | Mode: intuitive  | C: 0.516
  Day 1 10:00 | Action: 回家         | Target:            | Location:            | Mode: intuitive  | C: 0.536
  Day 1 11:00 | Action: 整理店面       | Target: 咖啡店        | Location:            | Mode: deliberate | C: 0.568
  Day 1 12:00 | Action: 賣咖啡        | Target: 咖啡店        | Location:            | Mode: deliberate | C: 0.582
  Day 1 13:00 | Action: 吃飯         | Target: 咖啡店後場      | Location:            | Mode: deliberate | C: 0.583
  Day 1 14:00 | Action: 賣咖啡        | Target: 咖啡店        | Location:            | Mode: intuitive  | C: 0.541
  Day 1 15:00 | Action: 前往         | Target: 咖啡店        | Location:            | Mode: deliberate | C: 0.581
  Day 1 16:00 | Action: 賣咖啡        | Target: 咖啡店        | Location:            | Mode: deliberate | C: 0.585
  Day 1 17:00 | Action: 賣咖啡        | Target: 咖啡店        | Location:            | Mode: deliberate | C: 0.583
  Day 1 18:00 | Action: 賣咖啡        | Target: 咖啡店        | Location:            | Mode: deliberate | C: 0.600
  Day 1 19:00 | Action: 打烊         | Target: 咖啡店        | Location:            | Mode: deliberate | C: 0.637
  Day 1 20:00 | Action: 回家         | Target: A家         | Location:            | Mode: deliberate | C: 0.625
  Day 1 21:00 | Action: 回家         | Target: A家         | Location:            | Mode: deliberate | C: 0.599
  Day 1 22:00 | Action: 回家         | Target: A家         | Location:            | Mode: deliberate | C: 0.587
  Day 1 23:00 | Action: 回家         | Target: A家         | Location:            | Mode: schedule   | C: 0.000
  Day 1 00:00 | Action:            | Target:            | Location:            | Mode: intuitive  | C: 0.000
  Day 1 01:00 | Action:            | Target:            | Location:            | Mode: intuitive  | C: 0.000
  Day 2 06:00 | Action: 回家         | Target: A家         | Location:            | Mode: intuitive  | C: 0.364
  Day 2 07:00 | Action: 起床         | Target:            | Location:            | Mode: intuitive  | C: 0.375
  Day 2 08:00 | Action: 滑手機        | Target:            | Location:            | Mode: intuitive  | C: 0.381
  Day 2 09:00 | Action: 滑手機        | Target:            | Location:            | Mode: intuitive  | C: 0.325
  Day 2 10:00 | Action: 回家         | Target: 咖啡店        | Location:            | Mode: intuitive  | C: 0.360
  Day 2 11:00 | Action: 前往         | Target: 咖啡店        | Location:            | Mode: intuitive  | C: 0.386
